#,Token,,Price,Change (%),Volume (24H),Circulating Market Cap,Onchain Market Cap,Holders,Id
1,Tether USD(USDT),,$0.99830.000320 ETH,-0.13%,"$53,640,788,945.00 ","$114,200,863,191.00 ","$51,901,743,145.17 ",58370110.06%,0xdac17f958d2ee523a2206206994597c13d831ec7
2,BNB(BNB),"BuyAdeToro - One-stop crypto shop: trusted, simple & safe.Explore Now",$564.28720.181166 ETH,-3.82%,"$1,848,189,695.00 ","$82,350,568,629.00 ","$221,712,945.16 ",2952610.01%,0xB8c77482e45F1F44dE1745F52C74426C631bDD52
3,USDC(USDC),,$0.9980.000320 ETH,-0.20%,"$8,128,033,831.00 ","$33,045,694,120.00 ","$24,294,961,477.36 ",22276110.05%,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48
4,XRP (IBC)(XRP),,$0.59010.000189 ETH,-9.75%,"$2,164,631,319.00 ","$33,042,501,923.00 ",$5.90 ,30.00%,0x628f76eab0c1298f7a24d337bbbf1ef8a1ea6a24
5,stETH(stETH),,"$3,111.420.998932 ETH",-5.74%,"$61,052,011.00 ","$30,716,982,339.00 ","$30,605,476,607.16 ",4568820.03%,0xae7ab96520de3a18e5e111b5eaab095312d7fe84
6,Wrapped TON Coin(TONCOIN),,$6.700.002151 ETH,-2.06%,"$299,362,885.00 ","$16,879,318,942.00 ","$80,019,486.90 ",280220.21%,0x582d872a1b094fc48f5de31d3b73f2d9be47def1
7,Wrapped Ether(WETH),,"$3,114.74641.000000 ETH",-4.91%,"$1,038,351,939.00 ","$10,641,336,068.00 ","$8,638,456,321.10 ",10551010.03%,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
8,Wrapped BTC(WBTC),,"$63,117.0020.263929 ETH",-5.06%,"$396,571,553.00 ","$9,757,000,572.00 ","$9,753,785,595.00 ",986140.01%,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599
9,SHIBA INU(SHIB),"BuyAdeToro - One-stop crypto shop: trusted, simple & safe.Explore Now",$0.000.000000 ETH,-6.13%,"$216,431,180.00 ","$9,081,222,151.00 ","$15,399,728,140.16 ",14013130.02%,0x95aD61b0a150d79219dCF64E1E6Cc01f0B64C4cE
10,ChainLink Token(LINK),"BuyAdeToro - One-stop crypto shop: trusted, simple & safe.Explore Now",$12.590.004042 ETH,-3.96%,"$285,069,956.00 ","$7,671,135,541.00 ","$12,590,000,000.00 ",7228030.00%,0x514910771af9ca656af840dff83e8264ecf986ca
